"Source:","D:\Github\kicad\Arduino Nano\Arduino Nano.kicad_sch"
"Date:","16-01-2022 12:11:22"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","31"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Part Number","Part number","Vendor","vVendor "
"","","C1","4.7uF",":capacitor_tantalum_1","","https://www.mouser.in/datasheet/2/212/1/KEM_T2005_T491-1093550.pdf","80-T491A475K010","","Mouser",""
"","","C2","0.1uF",":capacitor_0805_2","","https://www.mouser.in/datasheet/2/212/KEM_C1002_X7R_SMD-1102033.pdf","","80-C0805C104K5R","Mouser",""
"","","C3","15pF","Arduino Nano:Capacitor_NOP{slash}COG","","https://www.mouser.in/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf","80-C0805C180J5G","","Mouser",""
"","","C4","15pF","Arduino Nano:Capacitor_NOP{slash}COG","","https://www.mouser.in/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf","80-C0805C180J5G","","Mouser",""
"","","C5","0.1uF","Arduino Nano:capacitor_0805","","https://www.mouser.in/datasheet/2/212/KEM_C1002_X7R_SMD-1102033.pdf","","80-C0805C104K5R","Mouser",""
"","","C6","4.7uF",":capacitor_tantalum_2","","https://www.mouser.in/datasheet/2/212/1/KEM_T2005_T491-1093550.pdf","80-T491A475K010","","Mouser",""
"","","C7","4.7uF","Arduino Nano:capacitor_tantalum","","https://www.mouser.in/datasheet/2/212/1/KEM_T2005_T491-1093550.pdf","80-T491A475K010","","Mouser",""
"","","C8","0.1uF","Arduino Nano:capacitor_0805","","https://www.mouser.in/datasheet/2/212/KEM_C1002_X7R_SMD-1102033.pdf","","80-C0805C104K5R","Mouser",""
"","","C9","0.1uF",":capacitor_0805_1","","https://www.mouser.in/datasheet/2/212/KEM_C1002_X7R_SMD-1102033.pdf","","80-C0805C104K5R","Mouser",""
"","","C10","0.1uF","Arduino Nano:capacitor_0805","","https://www.mouser.in/datasheet/2/212/KEM_C1002_X7R_SMD-1102033.pdf","","80-C0805C104K5R","Mouser",""
"","","D1","Schottky_diode","Arduino Nano:Schottky_diode","","https://www.mouser.in/datasheet/2/308/1/MBR0520LT1_D-2315148.pdf","","863-MBR0520LT1G","Mouser",""
"","","J1","15-pin_Header","Arduino Nano:15-pin_Header","","https://www.mouser.in/datasheet/2/185/doc_1806131501164-2449121.pdf","798-A22PA254DSA71","","Mouser",""
"","","J2","6_pin_header","Arduino Nano:6_pin_header","","https://www.mouser.in/datasheet/2/185/doc_1806131501164-2449121.pdf","798-A22PA254DSA71","","Mouser",""
"","","J3","15-pin_Header","Arduino Nano:15-pin_Header","","https://www.mouser.in/datasheet/2/185/doc_1806131501164-2449121.pdf","798-A22PA254DSA71","","Mouser",""
"","","J4","micro_usb_b","Arduino Nano:micro_usb_b","","https://app.adam-tech.com/products/download/data_sheet/195766/mcr-b-s-ra-tsmt-np-cs4-tr-data-sheet.pdf","","MCR-B-S-RA-TSMT-NP-CS4-T/R","","digikey"
"","","LD1","blue_led","Arduino Nano:blue_led","","https://www.mouser.in/datasheet/2/239/Lite-On-LTST-C170TBKT-1175372.pdf","859-LTST-C170TBKT","","Mouser",""
"","","LD2","orange_led","Arduino Nano:orange_led","","https://www.mouser.in/datasheet/2/216/APHCM2012SECK-F01-40967.pdf","APHCM2012SECK-F01","","Mouser",""
"","","LD3","red_led","Arduino Nano:red_led","","https://www.mouser.in/datasheet/2/216/APT2012SRCPRV-56885.pdf","604-APT2012SRCPRV","","Mouser",""
"","","LD4","green_led","Arduino Nano:green_led","","https://www.mouser.in/datasheet/2/216/APHCM2012CGCK_F01-34366.pdf","APHCM2012CGCK-F01 ","","Mouser",""
"","","R1","680","Arduino Nano:Resistor_1K","","https://www.mouser.in/datasheet/2/54/chp_a-1858677.pdf","652-CHP0805AFX1001EL","","Mouser",""
"","","R2","1K","Arduino Nano:Resistor_1K","","https://www.mouser.in/datasheet/2/54/chp_a-1858677.pdf","652-CHP0805AFX1001EL","","Mouser",""
"","","R3","1K",":Resistor_1K_4","","https://www.mouser.in/datasheet/2/54/chp_a-1858677.pdf","652-CHP0805AFX1001EL","","Mouser",""
"","","R4","1K",":Resistor_1K_1","","https://www.mouser.in/datasheet/2/54/chp_a-1858677.pdf","652-CHP0805AFX1001EL","","Mouser",""
"","","R5","1K",":Resistor_1K_1","","https://www.mouser.in/datasheet/2/54/chp_a-1858677.pdf","652-CHP0805AFX1001EL","","Mouser",""
"","","R6","680","Arduino Nano:Resistor_1K","","https://www.mouser.in/datasheet/2/54/chp_a-1858677.pdf","652-CHP0805AFX1001EL","","Mouser",""
"","","R7","680","Arduino Nano:Resistor_1K","","https://www.mouser.in/datasheet/2/54/chp_a-1858677.pdf","652-CHP0805AFX1001EL","","Mouser",""
"","","SW1","Switch","Arduino Nano:Switch","","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3u.pdf","B3U-1000P","","Digikey",""
"","","U1","Voltage_regulator","Arduino Nano:Voltage_regulator","","https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=http%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fua78m","595-UA78M05CDCYRG3","","Mouser",""
"","","U2","ATmega168","Arduino Nano:ATmega168","","https://www.mouser.in/datasheet/2/268/Atmel-2545-8-bit-AVR-Microcontroller-ATmega48-88-1-1315326.pdf","556-ATMEGA168-20AU","","Mouser",""
"","","U3","usb_to_serial","Arduino Nano:usb_to_serial","","https://www.mouser.in/datasheet/2/163/DS_FT232R-11534.pdf","895-FT232RL","","Mouser",""
"","","Y1","16MHz","Arduino Nano:crystal_oscillator","","https://www.mouser.in/datasheet/2/3/ABL-1774766.pdf","815-ABL-16-B2","","Mouser",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Part Number","Part number","Vendor","vVendor "
"1","1","C1","4.7uF",":capacitor_tantalum_1","","https://www.mouser.in/datasheet/2/212/1/KEM_T2005_T491-1093550.pdf","80-T491A475K010","","Mouser",""
"2","1","C2","0.1uF",":capacitor_0805_2","","https://www.mouser.in/datasheet/2/212/KEM_C1002_X7R_SMD-1102033.pdf","","80-C0805C104K5R","Mouser",""
"3","2","C3, C4","15pF","Arduino Nano:Capacitor_NOP{slash}COG","","https://www.mouser.in/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf","80-C0805C180J5G","","Mouser",""
"4","3","C5, C8, C10","0.1uF","Arduino Nano:capacitor_0805","","https://www.mouser.in/datasheet/2/212/KEM_C1002_X7R_SMD-1102033.pdf","","80-C0805C104K5R","Mouser",""
"5","1","C6","4.7uF",":capacitor_tantalum_2","","https://www.mouser.in/datasheet/2/212/1/KEM_T2005_T491-1093550.pdf","80-T491A475K010","","Mouser",""
"6","1","C7","4.7uF","Arduino Nano:capacitor_tantalum","","https://www.mouser.in/datasheet/2/212/1/KEM_T2005_T491-1093550.pdf","80-T491A475K010","","Mouser",""
"7","1","C9","0.1uF",":capacitor_0805_1","","https://www.mouser.in/datasheet/2/212/KEM_C1002_X7R_SMD-1102033.pdf","","80-C0805C104K5R","Mouser",""
"8","1","D1","Schottky_diode","Arduino Nano:Schottky_diode","","https://www.mouser.in/datasheet/2/308/1/MBR0520LT1_D-2315148.pdf","","863-MBR0520LT1G","Mouser",""
"9","2","J1, J3","15-pin_Header","Arduino Nano:15-pin_Header","","https://www.mouser.in/datasheet/2/185/doc_1806131501164-2449121.pdf","798-A22PA254DSA71","","Mouser",""
"10","1","J2","6_pin_header","Arduino Nano:6_pin_header","","https://www.mouser.in/datasheet/2/185/doc_1806131501164-2449121.pdf","798-A22PA254DSA71","","Mouser",""
"11","1","J4","micro_usb_b","Arduino Nano:micro_usb_b","","https://app.adam-tech.com/products/download/data_sheet/195766/mcr-b-s-ra-tsmt-np-cs4-tr-data-sheet.pdf","","MCR-B-S-RA-TSMT-NP-CS4-T/R","","digikey"
"12","1","LD1","blue_led","Arduino Nano:blue_led","","https://www.mouser.in/datasheet/2/239/Lite-On-LTST-C170TBKT-1175372.pdf","859-LTST-C170TBKT","","Mouser",""
"13","1","LD2","orange_led","Arduino Nano:orange_led","","https://www.mouser.in/datasheet/2/216/APHCM2012SECK-F01-40967.pdf","APHCM2012SECK-F01","","Mouser",""
"14","1","LD3","red_led","Arduino Nano:red_led","","https://www.mouser.in/datasheet/2/216/APT2012SRCPRV-56885.pdf","604-APT2012SRCPRV","","Mouser",""
"15","1","LD4","green_led","Arduino Nano:green_led","","https://www.mouser.in/datasheet/2/216/APHCM2012CGCK_F01-34366.pdf","APHCM2012CGCK-F01 ","","Mouser",""
"16","3","R1, R6, R7","680","Arduino Nano:Resistor_1K","","https://www.mouser.in/datasheet/2/54/chp_a-1858677.pdf","652-CHP0805AFX1001EL","","Mouser",""
"17","1","R2","1K","Arduino Nano:Resistor_1K","","https://www.mouser.in/datasheet/2/54/chp_a-1858677.pdf","652-CHP0805AFX1001EL","","Mouser",""
"18","1","R3","1K",":Resistor_1K_4","","https://www.mouser.in/datasheet/2/54/chp_a-1858677.pdf","652-CHP0805AFX1001EL","","Mouser",""
"19","2","R4, R5","1K",":Resistor_1K_1","","https://www.mouser.in/datasheet/2/54/chp_a-1858677.pdf","652-CHP0805AFX1001EL","","Mouser",""
"20","1","SW1","Switch","Arduino Nano:Switch","","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3u.pdf","B3U-1000P","","Digikey",""
"21","1","U1","Voltage_regulator","Arduino Nano:Voltage_regulator","","https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=http%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fua78m","595-UA78M05CDCYRG3","","Mouser",""
"22","1","U2","ATmega168","Arduino Nano:ATmega168","","https://www.mouser.in/datasheet/2/268/Atmel-2545-8-bit-AVR-Microcontroller-ATmega48-88-1-1315326.pdf","556-ATMEGA168-20AU","","Mouser",""
"23","1","U3","usb_to_serial","Arduino Nano:usb_to_serial","","https://www.mouser.in/datasheet/2/163/DS_FT232R-11534.pdf","895-FT232RL","","Mouser",""
"24","1","Y1","16MHz","Arduino Nano:crystal_oscillator","","https://www.mouser.in/datasheet/2/3/ABL-1774766.pdf","815-ABL-16-B2","","Mouser",""
